年月日,時刻,データ01(mG),データ02(m/sec2)
2023/11/09,17:17:54,583.0,0.0
2023/11/09,17:17:55,584.0,0.0
2023/11/09,17:17:56,583.0,0.0
2023/11/09,17:17:57,588.0,0.0
2023/11/09,17:17:58,590.0,0.0
2023/11/09,17:17:59,589.0,0.0
2023/11/09,17:18:00,590.0,0.0
2023/11/09,17:18:01,589.0,0.0
2023/11/09,17:18:02,591.0,0.0
2023/11/09,17:18:03,591.0,0.0
2023/11/09,17:18:04,590.0,0.0
2023/11/09,17:18:05,583.0,0.0
2023/11/09,17:18:06,582.0,0.0
2023/11/09,17:18:07,583.0,0.0
2023/11/09,17:18:08,586.0,0.0
2023/11/09,17:18:09,589.0,0.0
2023/11/09,17:18:10,586.0,0.0
2023/11/09,17:18:11,587.0,0.0
2023/11/09,17:18:12,592.0,0.0
2023/11/09,17:18:13,589.0,0.0
2023/11/09,17:18:14,588.0,0.0
2023/11/09,17:18:15,589.0,0.0
2023/11/09,17:18:16,587.0,0.0
2023/11/09,17:18:17,586.0,0.0
2023/11/09,17:18:18,592.0,0.0
2023/11/09,17:18:19,595.0,0.0
2023/11/09,17:18:20,594.0,0.0
2023/11/09,17:18:21,593.0,0.0
2023/11/09,17:18:22,589.0,0.0
2023/11/09,17:18:23,590.0,0.0
2023/11/09,17:18:24,590.0,0.0
2023/11/09,17:18:25,592.0,0.0
2023/11/09,17:18:26,591.0,0.0
2023/11/09,17:18:27,588.0,0.0
2023/11/09,17:18:28,586.0,0.0
2023/11/09,17:18:29,585.0,0.0
2023/11/09,17:18:30,587.0,0.0
2023/11/09,17:18:31,591.0,0.0
2023/11/09,17:18:32,592.0,0.0
2023/11/09,17:18:34,588.0,0.0
2023/11/09,17:18:35,588.0,0.0
2023/11/09,17:18:36,590.0,0.0
2023/11/09,17:18:37,593.0,0.0
2023/11/09,17:18:38,595.0,0.0
2023/11/09,17:18:39,589.0,0.0
2023/11/09,17:18:40,592.0,0.0
2023/11/09,17:18:41,592.0,0.0
2023/11/09,17:18:42,597.0,0.0
2023/11/09,17:18:43,596.0,0.0
2023/11/09,17:18:44,590.0,0.0
2023/11/09,17:18:45,590.0,0.0
2023/11/09,17:18:46,589.0,0.0
2023/11/09,17:18:47,593.0,0.0
2023/11/09,17:18:48,589.0,0.0
2023/11/09,17:18:49,584.0,0.0
2023/11/09,17:18:50,583.0,0.0
2023/11/09,17:18:51,586.0,0.0
2023/11/09,17:18:52,586.0,0.0
2023/11/09,17:18:53,588.0,0.0
2023/11/09,17:18:54,584.0,0.0
2023/11/09,17:18:55,588.0,0.0
2023/11/09,17:18:56,588.0,0.0
2023/11/09,17:18:57,591.0,0.0
2023/11/09,17:18:58,589.0,0.0
2023/11/09,17:18:59,587.0,0.0
2023/11/09,17:19:00,586.0,0.0
2023/11/09,17:19:01,589.0,0.0
2023/11/09,17:19:02,589.0,0.0
2023/11/09,17:19:03,586.0,0.0
2023/11/09,17:19:04,589.0,0.0
2023/11/09,17:19:05,590.0,0.0
2023/11/09,17:19:06,590.0,0.0
